epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.277,2.94311,2.77166,3.55428,0.35884,0.42828,0.40296,0.1711,2.02767,1.81419,2.64764,0.00333192,0.00333192,0.00333192
2,195.974,2.09353,1.76953,2.57183,0.55549,0.57575,0.55657,0.2533,1.78267,1.30238,2.25356,0.00659927,0.00659927,0.00659927
3,285.266,1.87924,1.51514,2.28433,0.62728,0.6485,0.65884,0.30566,1.6203,1.10835,2.07895,0.00980061,0.00980061,0.00980061
4,374.732,1.76834,1.34358,2.12244,0.65569,0.70449,0.72043,0.34501,1.57463,0.95704,1.98246,0.009703,0.009703,0.009703
5,459.117,1.70508,1.22851,2.03758,0.70607,0.72941,0.75705,0.36427,1.54243,0.88085,1.93696,0.009604,0.009604,0.009604
6,548.244,1.66415,1.15698,1.98448,0.75039,0.77042,0.81387,0.39992,1.53179,0.85229,1.90845,0.009505,0.009505,0.009505
7,635.051,1.63939,1.10783,1.94661,0.7829,0.79066,0.8298,0.41356,1.50867,0.79677,1.88251,0.009406,0.009406,0.009406
8,721.739,1.61646,1.06162,1.91924,0.82225,0.79451,0.85775,0.43574,1.49183,0.76365,1.85308,0.009307,0.009307,0.009307
9,806.15,1.59812,1.03971,1.8933,0.79043,0.82651,0.85419,0.43207,1.49316,0.76139,1.84652,0.009208,0.009208,0.009208
10,891.252,1.58256,1.00752,1.86986,0.81193,0.83705,0.87575,0.44493,1.48134,0.71634,1.82533,0.009109,0.009109,0.009109
11,977.292,1.56879,0.98168,1.85105,0.83508,0.82706,0.88215,0.44898,1.46891,0.71457,1.80967,0.00901,0.00901,0.00901
12,1062.43,1.56102,0.96913,1.83892,0.80819,0.84134,0.8859,0.45754,1.46633,0.7004,1.80246,0.008911,0.008911,0.008911
13,1145.98,1.54857,0.94919,1.82012,0.82732,0.84522,0.89369,0.4616,1.46858,0.68603,1.80766,0.008812,0.008812,0.008812
